CD200,CD14,CD45,CD45RA,CD64,CD3,CD15,CD133,CD117,CD56,HLA.DR,CD19,CD33,CD34,CD371,CD7,CD16,CD123,CD36,CD38,Celltype
0.47636026299926376,0.21000048055236556,0.38079803124665956,0.5935786567052732,0.20903316336602673,0.556763228837049,0.3903677321251917,0.7609266657948432,0.8114946280816859,0.43374028301231893,0.547981322528838,0.6829915396101167,0.6417857735212836,0.7862729206024454,0.7156571121009232,0.5729316739041763,0.2627395347026638,0.4703313235880813,0.2754811795335062,0.8722000090503431,m1
0.40853190809939155,0.24023391733780072,0.612830524508367,0.5023988350598654,0.2765525529317313,0.5665203035172994,0.4929255441064977,0.2376121491078241,0.41398979870343144,0.3224108371032151,0.32058836452718975,0.5511817434776309,0.6562937871818812,0.24264768735324443,0.7441574855692904,0.6188741276569156,0.21812455741387687,0.9832695572681291,0.45580115560562035,0.6870641860218664,m2
0.32292052901535784,0.33404631612909363,0.49334965873632,0.39576089575291046,0.16649754644513307,0.5950433780617204,0.4019604583072284,0.4361524401928777,0.4160237163144652,0.33376342504746215,0.3928818518985981,0.44621329766785245,0.5708052801566385,0.2968323333624521,0.5710855846702221,0.339373960987749,0.3425551040636439,0.9540200826076802,0.41352843305692344,0.767273213085784,m2
0.4046589957599309,0.3418535457047879,0.4668694846871104,0.5054877140242201,0.8755285209040885,0.6542631477480263,0.5515837738608191,0.4558426936579215,0.42286166791993185,0.4405521492631729,0.5760572334617099,0.6487195488295128,0.8934985830348331,0.10588225322454023,0.7009025027872812,0.817286511421282,0.16052014808968232,0.6763517587044041,0.43327773825339677,0.8270989227426659,m2
0.3594220152310067,0.7377952130136528,0.7046628572981399,0.6095317059434184,0.7819491380050164,0.5966562669814119,0.5277679119825837,0.5980556232768057,0.42437921658398126,0.3887372967050177,0.4495199020243491,0.745687552822029,0.930050225821174,0.11987877711013312,0.8419385067855889,0.48503706167834226,0.35942315941432534,0.5913499846894457,0.886581069949516,0.6375065754989783,m3
0.4779106574355466,0.7602953182689003,0.7091269079698104,0.5037917528973548,0.8305425468027918,0.8181699759828676,0.6046196250555851,0.44676763150430365,0.49151974533365483,0.3132705374483268,0.39626416071152215,0.6469453012565485,0.9445162561084726,0.36553485941903047,0.8105568660511757,0.7555020014031599,0.285303698556683,0.7162748356962196,0.8690937381097861,0.7460632226875917,m3
0.3859468093039036,0.7423312969991358,0.6366397652558113,0.5631847655712403,0.8543061907890988,0.630898922033406,0.40536660683259207,0.4459737351833849,0.3793517116095281,0.3395855343569776,0.4399687512197653,0.5161706303477198,0.9302801447963175,0.26385554196361694,0.827203394717619,0.8035769426018429,0.17220594302266562,0.8215606371016504,0.8752558163264901,0.7949632062922267,m3
0.34306860555859464,0.3898762637017422,0.12266670920685196,0.35144894505090607,0.4259696375662215,0.8309741717767256,0.27062037921916654,0.5638862212954971,0.7456067672758213,0.3137639551806077,0.27857112964346886,0.5237907760863124,0.2581500249736854,0.1391365231006217,0.4733190147574929,0.6424591350700022,0.19340831821090465,0.3561848662939019,0.9035951889942535,0.5647861009912917,m2
0.3803511732337741,0.2704520583461801,0.42221163030896336,0.535813040560019,0.7974358848122283,0.6485055662722549,0.4878011859554011,0.5175983581229331,0.44315995245050943,0.3275567394283987,0.660242071680925,0.614897522485992,0.8426049651444825,0.17098074127716778,0.7462692295018043,0.815271364889848,0.16166897324355106,0.6368781084960065,0.4235711801260349,0.8326931009321942,m2
0.3677974181627962,0.34059939521977145,0.34112623444381696,0.5104205127818502,0.8127080173656837,0.5590045685511825,0.590950368499289,0.5171123590336382,0.35838987851216897,0.43296218542219256,0.7430171502658527,0.5923855439274852,0.7119527074354216,0.20693526162952008,0.7059675302207311,0.49584951406801153,0.291674778408857,0.6424574344485717,0.42299185212869533,0.7117549887393538,m2
0.4380901531240413,0.3762858711565289,0.4627238788497545,0.42700337919142684,0.406203213016328,0.7594364360761552,0.27737682658137797,0.8977874652372618,0.7834797867433969,0.27242631846821436,0.46706308855596956,0.6021975133187509,0.40159622090686736,0.7684066663204913,0.14137418938828075,0.7756919622365535,0.14753548158695634,0.5741695113980491,0.3960558131951336,0.6277549295152376,m1
0.38125629336337263,0.3440728614426095,0.3815123788302226,0.35694249541541456,0.3576356946210618,0.5863001879091365,0.3510338203997494,0.6772346956111926,0.592555823207761,0.3448220599070155,0.34716612291851695,0.4165883182841273,0.4335567481140248,0.8276325829715101,0.26926820452336075,0.6219633930617132,0.19053171600554497,0.6275328136012499,0.4153639750090746,0.8369496984454029,m1
