CD200,CD14,CD45,CD45RA,CD64,CD3,CD15,CD133,CD117,CD56,HLA.DR,CD19,CD33,CD34,CD371,CD7,CD16,CD123,CD36,CD38,Celltype,pseudotime
0.4763602629992637,0.2100004805523655,0.3807980312466595,0.5935786567052732,0.2090331633660267,0.556763228837049,0.3903677321251917,0.7609266657948432,0.8114946280816859,0.4337402830123189,0.547981322528838,0.6829915396101167,0.6417857735212836,0.7862729206024454,0.7156571121009232,0.5729316739041763,0.2627395347026638,0.4703313235880813,0.2754811795335062,0.8722000090503431,m1,5.047881375022685
0.4085319080993915,0.2402339173378007,0.612830524508367,0.5023988350598654,0.2765525529317313,0.5665203035172994,0.4929255441064977,0.2376121491078241,0.4139897987034314,0.3224108371032151,0.3205883645271897,0.5511817434776309,0.6562937871818812,0.2426476873532444,0.7441574855692904,0.6188741276569156,0.2181245574138768,0.9832695572681291,0.4558011556056203,0.6870641860218664,m2,8.17161072956554
0.3229205290153578,0.3340463161290936,0.49334965873632,0.3957608957529104,0.166497546445133,0.5950433780617204,0.4019604583072284,0.4361524401928777,0.4160237163144652,0.3337634250474621,0.3928818518985981,0.4462132976678524,0.5708052801566385,0.2968323333624521,0.5710855846702221,0.339373960987749,0.3425551040636439,0.9540200826076802,0.4135284330569234,0.767273213085784,m2,6.537304919985052
0.4046589957599309,0.3418535457047879,0.4668694846871104,0.5054877140242201,0.8755285209040885,0.6542631477480263,0.5515837738608191,0.4558426936579215,0.4228616679199318,0.4405521492631729,0.5760572334617099,0.6487195488295128,0.8934985830348331,0.1058822532245402,0.7009025027872812,0.817286511421282,0.1605201480896823,0.6763517587044041,0.4332777382533967,0.8270989227426659,m2,10.016504597880228
0.3594220152310067,0.7377952130136528,0.7046628572981399,0.6095317059434184,0.7819491380050164,0.5966562669814119,0.5277679119825837,0.5980556232768057,0.4243792165839812,0.3887372967050177,0.4495199020243491,0.745687552822029,0.930050225821174,0.1198787771101331,0.8419385067855889,0.4850370616783422,0.3594231594143253,0.5913499846894457,0.886581069949516,0.6375065754989783,m3,11.463316111517068
0.4779106574355466,0.7602953182689003,0.7091269079698104,0.5037917528973548,0.8305425468027918,0.8181699759828676,0.6046196250555851,0.4467676315043036,0.4915197453336548,0.3132705374483268,0.3962641607115221,0.6469453012565485,0.9445162561084726,0.3655348594190304,0.8105568660511757,0.7555020014031599,0.285303698556683,0.7162748356962196,0.8690937381097861,0.7460632226875917,m3,11.923102473242198
0.3859468093039036,0.7423312969991358,0.6366397652558113,0.5631847655712403,0.8543061907890988,0.630898922033406,0.405366606832592,0.4459737351833849,0.3793517116095281,0.3395855343569776,0.4399687512197653,0.5161706303477198,0.9302801447963176,0.2638555419636169,0.827203394717619,0.8035769426018429,0.1722059430226656,0.8215606371016504,0.8752558163264901,0.7949632062922267,m3,11.189354366294044
0.3430686055585946,0.3898762637017422,0.1226667092068519,0.351448945050906,0.4259696375662215,0.8309741717767256,0.2706203792191665,0.5638862212954971,0.7456067672758213,0.3137639551806077,0.2785711296434688,0.5237907760863124,0.2581500249736854,0.1391365231006217,0.4733190147574929,0.6424591350700022,0.1934083182109046,0.3561848662939019,0.9035951889942536,0.5647861009912917,m2,6.033170294699248
0.3803511732337741,0.2704520583461801,0.4222116303089633,0.535813040560019,0.7974358848122283,0.6485055662722549,0.4878011859554011,0.5175983581229331,0.4431599524505094,0.3275567394283987,0.660242071680925,0.614897522485992,0.8426049651444825,0.1709807412771677,0.7462692295018043,0.815271364889848,0.161668973243551,0.6368781084960065,0.4235711801260349,0.8326931009321942,m2,8.087729645605233
0.3677974181627962,0.3405993952197714,0.3411262344438169,0.5104205127818502,0.8127080173656837,0.5590045685511825,0.590950368499289,0.5171123590336382,0.3583898785121689,0.4329621854221925,0.7430171502658527,0.5923855439274852,0.7119527074354216,0.20693526162952,0.7059675302207311,0.4958495140680115,0.291674778408857,0.6424574344485717,0.4229918521286953,0.7117549887393538,m2,7.125402562527224
0.4380901531240413,0.3762858711565289,0.4627238788497545,0.4270033791914268,0.406203213016328,0.7594364360761552,0.2773768265813779,0.8977874652372618,0.7834797867433969,0.2724263184682143,0.4670630885559695,0.6021975133187509,0.4015962209068673,0.7684066663204913,0.1413741893882807,0.7756919622365535,0.1475354815869563,0.5741695113980491,0.3960558131951336,0.6277549295152376,m1,2.2246482816834456
0.3812562933633726,0.3440728614426095,0.3815123788302226,0.3569424954154145,0.3576356946210618,0.5863001879091365,0.3510338203997494,0.6772346956111926,0.592555823207761,0.3448220599070155,0.3471661229185169,0.4165883182841273,0.4335567481140248,0.8276325829715101,0.2692682045233607,0.6219633930617132,0.1905317160055449,0.6275328136012499,0.4153639750090746,0.8369496984454029,m1,2.266360884576506
0.446868772451903,0.6922459718553906,0.8075522012969274,0.5809348289443064,0.7839422163285028,0.6134559993572021,0.5934012984017878,0.5002486688095156,0.4607263311731373,0.1972550386857691,0.7795943553012789,0.3620773187889346,0.8375663708126692,0.2258438955116782,0.8324854319875638,0.8015882734762048,0.3664942145811168,0.4784231792835628,0.8250921287003834,0.6560296249618279,m3,11.804938868941798
0.3012185431443679,0.8658189055357046,0.8980065474684218,0.559184061771429,0.84022945731226,0.8182661088669502,0.547719361615175,0.5932507130051483,0.4599262267793395,0.3833143628825394,0.7053266488700078,0.447983171143068,0.9108680773030954,0.3261212873955397,0.8389263882862729,0.7439227370520634,0.4708486729414732,0.7016427322974835,0.8575025891056587,0.6273827309469199,m3,14.975773114230446
0.3092347156296267,0.2278399935086716,0.116055491165676,0.2709386602619698,0.3198400895989413,0.6826624147902216,0.4527946117841163,0.3419978009410614,0.7059209879966929,0.3622626854050409,0.3013507392255545,0.5256136228903673,0.2102840736315516,0.1724811103036217,0.3812293699918165,0.4354206918250376,0.2684900094886508,0.476958515050822,0.8166828160993314,0.6394321204537365,m2,7.640319665532233
