pdf
-19.902372
-19.294424
-17.888763
-26.86948
-24.836872
-26.76811
-33.709034
-23.070904
-32.70356
-22.242283
-24.542313
-24.998825
-20.043943
-22.94616
-22.572636
-27.378372
-23.525011
-29.305664
-25.41853
-25.550976
-18.895645
-22.220875
-25.778044
-23.735455
-22.83611
-25.158463
-22.94906
-22.434063
-26.59079
-17.7667
-24.842667
-26.709251
-19.639019
-24.049309
-20.261818
-26.91749
-27.798058
-27.61624
-26.105846
-21.640846
-25.754988
-29.997095
-25.453655
-29.531113
-33.1407
-17.724405
-31.395435
-12.604713
-27.398579
-26.794971
-22.69751
-28.249449
-30.762611
-23.329948
-23.692253
-24.272232
-20.017653
-25.552708
-25.16809
-23.631035
-29.254013
-19.80177
-17.565907
-24.424717
-27.192692
-14.780056
-26.56408
-27.937551
-25.192099
-16.546339
-15.908035
-29.76976
-23.294506
-27.456024
-26.121235
-21.530434
-17.975407
-25.158348
-28.217499
-27.114315
-25.451996
-28.508133
-22.001617
-21.23412
-26.213284
-18.472935
-17.890793
-10.917976
-27.726656
-11.796993
-28.418076
-30.577963
-31.197418
-16.45113
-21.51413
-24.66555
-15.110115
-29.209454
-30.258564
-23.48619
-31.80901
-21.689178
-24.56464
-31.275524
-26.325401
-25.924194
-32.785515
-32.508896
-23.901878
-17.166016
-29.881737
-21.591408
-24.124968
-28.1371
-24.978857
-27.380692
-30.971916
-26.777308
-19.594505
-21.491673
-23.786499
-29.184963
-29.76601
-21.626556
-27.581913
-30.472898
-29.031578
-21.11605
-23.655582
-33.739418
-33.68036
-20.474674
-26.501179
-22.76277
-31.593832
-33.083508
-29.267647
-28.278202
-21.909605
-17.616047
-25.177803
-19.435783
-22.91868
-26.583672
-32.020683
-25.025421
-25.613218
-27.790081
-31.24115
-10.679247
-18.71302
-28.287338
-30.997643
-21.886612
-15.660997
-30.532383
-24.576643
-21.69268
-32.59457
-29.325607
-23.056293
-28.945065
-27.169392
-23.260078
-23.344769
-25.636885
-22.953743
-25.74461
-23.035358
-30.728735
-11.182964
-16.046192
-31.101475
-29.486383
-29.596302
-27.79079
-32.253014
-26.765535
-29.232922
-18.24034
-25.567028
-32.454533
-20.97652
-32.344955
-21.48378
-26.161804
-27.82674
-24.806927
-24.290293
-23.766945
-26.508228
-30.0475
-29.64981
-10.164814
-16.376816
-19.781013
-29.680462
-27.55354
-15.007671
-24.65623
-26.386198
-22.296703
-20.651354
-31.78936
-25.187157
-31.468441
-32.08619
-25.411274
-28.481985
-4.6831093
-20.339512
-23.925505
-28.801498
-20.99634
-24.0025
-19.865997
-32.832474
-25.90387
-30.16312
-28.636215
-30.235027
-32.71857
-21.688757
-20.753906
-31.520313
-31.676361
-22.74788
-30.483078
-29.153646
-22.293663
-30.360945
-21.755646
-17.404552
-29.979252
-28.92765
-24.914875
-22.905003
-25.483326
-29.43837
-32.219307
-31.994942
-24.44478
-26.198654
-21.323185
-29.509338
-31.11064
-34.86422
-26.056751
-31.090296
-21.409216
-27.204035
-28.675602
-10.936459
-12.724297
-29.110363
-30.872515
-27.14397
-27.885809
-22.131271
-18.620201
-19.038479
-31.514954
-21.01963
-20.124565
-27.948242
-31.388395
-17.364834
-22.846813
-30.668198
-14.172985
-29.114796
-27.643824
-26.12675
-27.740448
-25.379951
-14.380562
-29.48545
-22.716763
-28.513342
-20.770605
-30.3996
-24.75327
-25.061346
-26.838554
-24.537811
-25.318197
-21.343887
-29.10884
-18.713848
-26.976254
-34.244858
-23.760185
-22.076843
-25.283348
-30.698055
-27.45847
-30.856274
-31.03356
-27.10501
-27.333282
-28.908436
-26.404593
-30.218573
-26.068214
-30.135426
-17.786167
-25.155289
-26.464806
-24.531525
-15.222954
-29.664604
-28.923338
-22.969421
-21.127983
-5.3689995
-30.464024
-28.520388
-27.225826
-32.292427
-33.027008
-12.227934
-24.816898
-21.662415
-32.092995
-21.335796
-28.604645
-13.9105835
-25.477427
-26.066883
-29.115294
-31.76534
-33.6276
-20.722702
-22.300983
-20.266224
-27.709288
